name,firm,title,sf_based,linkedin_or_source_url,notes
Sarah Guo,Conviction,General Partner,yes,https://www.conviction.com/team,Founder; SF-based AI fund
Mike Vernal,Conviction,General Partner,yes,https://techcrunch.com/2025/01/31/guos-conviction-partners-adds-mike-vernal-as-gp-raises-230m-fund/,Joined 2025 from Sequoia; SF
Pranav Reddy,Conviction,Partner,yes,https://pgreddy.com,SF-based per public profile
Mark Siegel,Menlo Ventures,Managing Director / Partner,yes,https://menlovc.com/team/,Menlo Park / Bay Area
Venky Ganesan,Menlo Ventures,Managing Director / Partner,yes,https://menlovc.com/team/,Bay Area; security focus
Matt Murphy,Menlo Ventures,Managing Director / Partner,yes,https://menlovc.com/team/,Bay Area
Shawn Carolan,Menlo Ventures,Managing Director / Partner,yes,https://menlovc.com/team/,Bay Area
Steve Sloane,Menlo Ventures,Partner,yes,https://menlovc.com/team/,Bay Area
Tyler Sosin,Menlo Ventures,Partner,yes,https://menlovc.com/team/tyler-sosin/,Bay Area
JP Sanday,Menlo Ventures,Partner,yes,https://menlovc.com/team/jp-sanday/,Bay Area; vertical SaaS
Naomi Pilosof Ionita,Menlo Ventures,Partner,yes,https://www.linkedin.com/in/naomipilosofionita,Bay Area
Croom Beatty,Menlo Ventures,Partner,yes,https://menlovc.com/team/croom-beatty/,Mill Valley CA
Joff Redfern,Menlo Ventures,Partner,yes,https://menlovc.com/team/joff-redfern/,San Francisco
Mike Maples Jr,Floodgate,Partner (co-founding),yes,https://www.floodgate.com/team/mike-maples-jr,Bay Area
Ann Miura-Ko,Floodgate,Partner (co-founding),yes,https://www.floodgate.com/team/ann-miura-ko,Bay Area
Iris Choi,Floodgate,Partner,yes,https://www.floodgate.com/team/iris-choi,Bay Area
Arjun Chopra,Floodgate,General Partner,yes,https://signal.nfx.com/investors/arjun-chopra,Bay Area
Aydin Senkut,Felicis,Founder / Managing Partner,yes,https://www.felicis.com/team,Menlo Park / Bay Area HQ
Sundeep Peechu,Felicis,Managing Partner,yes,https://www.felicis.com/team/sundeep-peechu,Bay Area
Viviana Faga,Felicis,General Partner,yes,https://www.felicis.com/team,Bay Area
Astasia Myers,Felicis,General Partner,yes,https://www.felicis.com/team/astasia-myers,Bay Area
Niki Pezeshki,Felicis,General Partner,?,https://pitchbook.com/news/articles/felicis-ventures-niki-pezeshki-departure,Reported departure; verify status
James Detweiler,Felicis,General Partner,yes,https://www.felicis.com/team/james-detweiler,SF (Outer Richmond) per Felicis post Feb 2026
Yasmin Razavi,Spark Capital,General Partner,yes,https://www.linkedin.com/in/yasminrazavi,San Francisco
Nabeel Hyatt,Spark Capital,General Partner,yes,https://www.sparkcapital.com/team-members/nabeel-hyatt,San Francisco
Will Reed,Spark Capital,General Partner,?,https://www.vcsheet.com/who/will-reed,Spark has SF/NY/Boston offices; office unclear
