name,firm,title,sf_based,linkedin_or_source_url,notes
Roelof Botha,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/roelof-botha/,Senior steward; Menlo Park HQ
Alfred Lin,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/alfred-lin/,Co-steward 2025; Bay Area
Pat Grady,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/pat-grady/,Co-steward 2025; growth team
Doug Leone,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/doug-leone/,Senior; Menlo Park
Jim Goetz,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/jim-goetz/,Menlo Park
Bill Coughran,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/bill-coughran/,Early team; Bay Area
Bryan Schreier,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/bryan-schreier/,Early team; Bay Area
Bogomil Balkansky,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/bogomil-balkansky/,Early team
Mike Vernal,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/mike-vernal/,Bay Area
Jess Lee,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/jess-lee/,Bay Area
Konstantine Buhler,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/konstantine-buhler/,Bay Area
Sonya Huang,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/sonya-huang/,Growth team; Bay Area
Andrew Reed,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/andrew-reed/,Growth team
Shaun Maguire,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/shaun-maguire/,Early/seed; Bay Area
Stephanie Zhan,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/stephanie-zhan/,Bay Area
Josephine Chen,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/josephine-chen/,Early team; Bay Area
Charlie Curnin,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/charlie-curnin/,Seed/early
Lauren Reeder,Sequoia Capital,Partner,Y,https://sequoiacap.com/people/lauren-reeder/,SF Bay Area confirmed
Luciana Lixandru,Sequoia Capital,Partner,N,https://sequoiacap.com/people/luciana-lixandru/,London
George Robson,Sequoia Capital,Partner,?,https://sequoiacap.com/people/george-robson/,Seed/early team
Cornelius Menke,Sequoia Capital,Partner,N,https://sequoiacap.com/people/cornelius-menke/,London
Marc Andreessen,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Cofounder; Menlo Park HQ
Ben Horowitz,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Cofounder; Menlo Park HQ
Chris Dixon,Andreessen Horowitz,General Partner,?,https://a16z.com/author/chris-dixon/,Crypto; partly NYC
Martin Casado,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Enterprise; Bay Area
Andrew Chen,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Consumer; Bay Area
David Ulevitch,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,American Dynamism; Bay Area
Katherine Boyle,Andreessen Horowitz,General Partner,N,https://a16z.com/team/,American Dynamism; DC/Miami
Erin Price-Wright,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,American Dynamism
Jeff Jordan,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Menlo Park
David George,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Growth lead; Menlo Park
Sriram Krishnan,Andreessen Horowitz,General Partner,?,https://a16z.com/team/,Now reportedly DC; was SF
Anjney Midha,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Infra/AI
Alex Rampell,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Fintech; Bay Area
Connie Chan,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Consumer; Bay Area
Sarah Wang,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Growth; Bay Area
Vineeta Agarwala,Andreessen Horowitz,General Partner,Y,https://a16z.com/vineeta-agarwala/,Bio+Health; Bay Area
Jorge Conde,Andreessen Horowitz,General Partner,?,https://a16z.com/team/,Bio+Health
Julie Yoo,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Bio+Health; Bay Area
Anish Acharya,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Consumer/fintech
Alex Immerman,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Growth; promoted 2025-26
Raghu Raghuram,Andreessen Horowitz,General Partner,Y,https://a16z.com/team/,Joined Oct 2025; ex-VMware
Ali Yahya,Andreessen Horowitz,General Partner,Y,https://a16zcrypto.com/our-team/,Crypto; Bay Area
Arianna Simpson,Andreessen Horowitz,General Partner,Y,https://a16zcrypto.com/our-team/,Crypto; Bay Area
Peter Thiel,Founders Fund,General Partner,Y,https://foundersfund.com/our_team/,Cofounder; SF/LA
Napoleon Ta,Founders Fund,General Partner,Y,https://foundersfund.com/team/napoleon-ta/,Growth; SF
Trae Stephens,Founders Fund,General Partner,Y,https://foundersfund.com/our_team/,SF; defense
Brian Singerman,Founders Fund,Partner,Y,https://foundersfund.com/our_team/,Partner emeritus 2024; SF
Scott Nolan,Founders Fund,Partner,Y,https://foundersfund.com/team/scott-nolan/,SF; deep tech
Delian Asparouhov,Founders Fund,Partner,Y,https://foundersfund.com/team/delian-asparouhov/,SF
Lauren Gross,Founders Fund,Partner,Y,https://foundersfund.com/team/lauren-gross/,Partner & COO; SF
Peter Fenton,Benchmark,General Partner,Y,https://www.benchmark.com/people/,SF
Eric Vishria,Benchmark,General Partner,Y,https://www.benchmark.com/people/,SF
Chetan Puttagunta,Benchmark,General Partner,?,https://www.benchmark.com/people/,Reportedly NYC
Ev Randle,Benchmark,General Partner,Y,https://www.benchmark.com/people/,SF; joined Oct 2025
Jack Altman,Benchmark,General Partner,Y,https://www.benchmark.com/people/,SF; joined Feb 2026
Reid Hoffman,Greylock,Partner,Y,https://greylock.com/team/reid-hoffman/,Menlo Park
David Sze,Greylock,General Partner,Y,https://greylock.com/team/,Menlo Park
Asheem Chandna,Greylock,Partner,Y,https://greylock.com/team/,Menlo Park
Sarah Guo,Greylock,General Partner,Y,https://greylock.com/team/,SF (left to start Conviction; verify currency)
Saam Motamedi,Greylock,General Partner,Y,https://greylock.com/team/saam-motamedi/,Menlo Park
Mike Duboe,Greylock,General Partner,Y,https://greylock.com/team/,Bay Area
Jerry Chen,Greylock,General Partner,Y,https://greylock.com/team/,Bay Area
Seth Rosenberg,Greylock,Partner,Y,https://greylock.com/team/,Bay Area
Corinne Riley,Greylock,Partner,Y,https://greylock.com/team/,Bay Area
Rich Wong,Accel,Partner,Y,https://www.accel.com/team/rich-wong,Palo Alto
Sameer Gandhi,Accel,Partner,Y,https://www.accel.com/people,Palo Alto
Ryan Sweeney,Accel,Partner,Y,https://www.accel.com/people,Palo Alto; growth
Arun Mathew,Accel,Partner,Y,https://www.accel.com/people,Palo Alto; growth
Andrew Braccia,Accel,Partner,Y,https://www.accel.com/team/andrew-braccia,Palo Alto
Vas Natarajan,Accel,Partner,Y,https://www.accel.com/team/vas-natarajan,Palo Alto
Daniel Levine,Accel,Partner,Y,https://www.accel.com/team/daniel-levine,Palo Alto
Ping Li,Accel,Partner,Y,https://www.accel.com/people,Bay Area
Steve Loughlin,Accel,Partner,Y,https://www.accel.com/people,Bay Area
Amit Kumar,Accel,Partner,Y,https://www.accel.com/people,Bay Area
Casey Aylward,Accel,Partner,Y,https://www.accel.com/team/casey-aylward,Bay Area
Miles Clements,Accel,Partner,Y,https://www.accel.com/people/miles-clements,Bay Area; growth
Ethan Choi,Accel,Partner,Y,https://www.accel.com/people,Palo Alto; growth
John Locke,Accel,Partner,?,https://www.accel.com/people,London or Bay Area (sources disagree)
Sonali De Rycker,Accel,General Partner,N,https://www.accel.com/team/sonali-de-rycker,London
Philippe Botteri,Accel,Partner,N,https://www.accel.com/team/philippe-botteri,London
Ben Fletcher,Accel,Partner,N,https://www.accel.com/people,London
