name,role_or_company,sf_based,angel_activity_signal,linkedin_or_source_url,notes
Patrick Collison,"Co-founder & CEO, Stripe",Y,"49+ angel investments per Crunchbase; backs infra/AI co-founders",https://www.crunchbase.com/person/patrick-collison,"Hard to land but writes select strategic checks; warm intro essential"
John Collison,"Co-founder & President, Stripe",Y,"Active angel; co-led many checks alongside brother; backs Watershed et al",https://www.crunchbase.com/person/john-collison,"Pairs with Patrick on most deals; same intro pathway"
Lachy Groom,"Ex-Stripe (employee #30), Co-founder Physical Intelligence",Y,"213 Crunchbase angel deals; Figma/Notion/Ramp/Lattice/Deel angel",https://www.crunchbase.com/person/lachy-groom,"Top-tier solo GP-style angel; writes large checks; very active"
Cristina Cordova,"COO Linear, ex-Stripe Partnerships, ex-Notion, ex-First Round",Y,"~80 angel investments incl Notion/WorkOS/Metronome/Baseten/Ashby",https://signal.nfx.com/investors/cristina-cordova,"Highly responsive on Twitter; partnerships/GTM angel"
Patrick McKenzie (patio11),"Advisor at Stripe, Bits about Money",N,"Self-described 'tiny angel investor'; writes small checks publicly",https://www.kalzumeus.com/about/,"Tokyo/Chicago-area; writes thoughtful small checks; great signal"
Will Larson (lethain),"CTO Carta, ex-Stripe Foundation Eng",Y,"Publicly blogs about angel investing; infra-focused",https://lethain.com/about/,"Eng-leader angel; small checks"
Claire Hughes Johnson,"ex-COO Stripe, advisor",Y,"Active angel; backed Quanta, Duna, Seapoint and many ex-Stripe cos",https://signal.nfx.com/investors/claire-hughes-johnson,"Operator-network angel; high signal for ex-Stripe founders"
Greg Brockman,"Co-founder OpenAI, ex-CTO Stripe",Y,"51 Crunchbase angel deals; $100K-$5M range; AI/devtools focus",https://signal.nfx.com/investors/greg-brockman,"Top-tier AI angel; hard to reach but high signal"
David Singleton,"ex-CTO Stripe, CEO /dev/agents",Y,"Angel in CloudCruise and others; AI agents focus",https://www.crunchbase.com/person/david-singleton-e328,"Recently launched own startup; still writing selective angel checks"
Jeff Weinstein,"Product Lead, Stripe",Y,"Active angel alongside Cordova/Hughes Johnson on multiple seed rounds",https://www.linkedin.com/in/jeffwweinstein,"Product-focused angel; high Twitter presence"
Tara Seshan,"ex-Stripe, Watershed",Y,"Co-angel on Stripe-alumni seed rounds",https://www.linkedin.com/in/taraseshan,"Smaller checks but well networked in Stripe alumni"
Brie Wolfson,"ex-Stripe (Press, Planning), Positive Sum",Y,"Smaller angel checks via Positive Sum / personal",https://www.briewolfson.com/,"Culture/brand angel; great for craft-driven startups"
Edwin Wee,"ex-Stripe Partnerships, Anthropic GTM",Y,"Active angel via syndicates and Stripe-network deals",https://www.linkedin.com/in/edwinwee,"Bridges Stripe + Anthropic alumni networks"
Christian Anderson,"Co-founder Watershed, ex-Stripe",Y,"Angel in Stripe/climate-alumni circles",https://www.crunchbase.com/person/christian-anderson,"Founder-angel; smaller but strategic checks"
Taylor Francis,"Co-founder Watershed, ex-Stripe Atlas",Y,"Founder-angel within Stripe alumni network",https://www.linkedin.com/in/taylor-francis-5a2a44a,"Climate / SMB angle"
Avi Itskovich,"Co-founder Watershed, ex-Stripe eng",Y,"Founder-angel within Stripe alumni network",https://www.linkedin.com/in/aitskovich,"Eng-founder; smaller checks"
Michael Cocoman,"ex-Global Chief Compliance Officer, Stripe",?,"Angel investor in Duna and other Stripe-alumni deals",https://techcrunch.com/2026/02/04/stripe-alumni-raise-e30m-series-a-for-duna-backed-by-stripe-and-adyen-execs/,"Compliance / fintech angle"
Ian Hogarth,"Co-founder Plural Platform, Chair UK AI Safety Inst",N,"150+ angel investments incl 50+ AI cos (Anthropic, Helsing, Cleo)",https://www.crunchbase.com/person/ian-hogarth,"London-based; serious AI angel; ex-DeepMind orbit"
Mustafa Suleyman,"CEO Microsoft AI, Co-founder DeepMind",N,"16-17 angel investments per Crunchbase incl ElevenLabs, Forward, Dice",https://www.crunchbase.com/person/mustafa-suleyman,"London/Seattle; selective; high-profile"
Demis Hassabis,"CEO Google DeepMind, CEO Isomorphic Labs",N,"8 angel investments per Crunchbase",https://www.crunchbase.com/person/demis-hassabis,"London-based; very hard to reach; high-profile target"
Shane Legg,"Co-founder & Chief AGI Scientist, DeepMind",N,"high-profile target — angel activity unverified",https://en.wikipedia.org/wiki/Shane_Legg,"Listed for completeness; UK-based; angel signal weak"
Andrej Karpathy,"Founder Eureka Labs, ex-OpenAI, ex-Tesla AI",Y,"18 Crunchbase angel deals; latest MatX Series B (2026)",https://www.cbinsights.com/investor/andrej-karpathy,"Adjacent to Anthropic/DeepMind orbit; AI-focused angel"
Dario Amodei,"Co-founder & CEO, Anthropic",Y,"high-profile target — angel activity unverified",https://en.wikipedia.org/wiki/Dario_Amodei,"Recently pledged 80% of wealth to philanthropy; unlikely angel target"
Daniela Amodei,"Co-founder & President, Anthropic",Y,"high-profile target — angel activity unverified",https://en.wikipedia.org/wiki/Daniela_Amodei,"See note above re philanthropic pledge"
Tom Brown,"Co-founder & Chief Compute Officer, Anthropic",Y,"Reportedly invested in 10-15 early-stage AI startups",https://www.crunchbase.com/person/tom-brown-2,"AI safety / interpretability focus; SF-based"
Jack Clark,"Co-founder & Head of Policy, Anthropic",Y,"high-profile target — angel activity unverified",https://www.linkedin.com/in/jackclarksf,"Policy-focused; SF-based; long shot but warm AI angle"
Sam McCandlish,"Co-founder & CTO, Anthropic",Y,"high-profile target — angel activity unverified",https://www.crunchbase.com/person/sam-mccandlish,"Research-focused; SF-based; unverified angel activity"
Jared Kaplan,"Co-founder & Chief Science Officer, Anthropic",N,"high-profile target — angel activity unverified",https://www.crunchbase.com/person/jared-kaplan,"Baltimore (JHU) base; light angel signal"
Chris Olah,"Co-founder, Interpretability lead, Anthropic",Y,"high-profile target — angel activity unverified",https://colah.github.io/about.html,"Interpretability researcher; SF-based; unverified angel activity"
Benjamin Mann,"Co-founder, Anthropic",Y,"high-profile target — angel activity unverified",https://www.linkedin.com/in/benmann,"SF-based; unverified angel activity"
Catherine Olsson,"Early Anthropic, ex-OpenAI",Y,"high-profile target — angel activity unverified",https://www.linkedin.com/in/catherineolsson,"AI safety researcher; potential warm AI angel"
Suhail Doshi,"Founder Playground.ai, ex-Mixpanel; angel",Y,"Active angel via Mighty/Playground network; AI focus",https://www.crunchbase.com/person/suhail-doshi,"Adjacent to AI lab orbits incl Anthropic; SF-based"
Calvin French-Owen,"ex-Co-founder Segment, Thrive Capital",Y,"Active angel per Crunchbase; recently joined Thrive",https://www.cbinsights.com/investor/calvin-french-owen,"Eng/devtools angel; SF-based"
Michael Siliski,"Partner Felicis, ex-Stripe, ex-DeepMind",Y,"Now full-time VC at Felicis; angel-stage checks via firm",https://www.linkedin.com/in/msiliski/,"Bridges Stripe + DeepMind networks; lead Paraform"
Jaan Tallinn,"Skype co-founder, early Anthropic + DeepMind angel",N,"Backed Anthropic Series A and DeepMind early; many AI safety angels",https://en.wikipedia.org/wiki/Jaan_Tallinn,"Estonia-based; AI safety focused angel"
