name,firm,title,sf_based,linkedin_or_source_url,notes
Hans Tung,Notable Capital,Managing Partner,Y,https://www.notablecap.com/team,Formerly GGV US; consumer/mass-market focus
Jeff Richards,Notable Capital,Managing Partner,Y,https://www.notablecap.com/team/jeff-richards,Joined 2008; SaaS/enterprise
Glenn Solomon,Notable Capital,Managing Partner,Y,https://www.notablecap.com/team,Long-tenured GGV/Notable partner
Robin Li,Notable Capital,Partner,?,https://www.linkedin.com/in/robinli2,
Dan Cahana,Notable Capital,Partner,?,https://www.notablecap.com/team/dan-cahana,
Murat Bicer,CRV,General Partner,?,https://www.crv.com/team/murat-bicer,Forbes Midas List; Datadog/Iterable
Saar Gur,CRV,General Partner,Y,https://www.crv.com/team/saar-gur,Bay Area-based GP
Brittany Walker,CRV,General Partner,?,https://www.crv.com/team,
Caitlin Bolnick Rellas,CRV,General Partner,?,https://www.crv.com/team,Consumer focus
James Green,CRV,General Partner,?,https://www.crv.com/team,
Jon Auerbach,CRV,General Partner,?,https://www.crv.com/team,
Max Gazor,CRV,General Partner,Y,https://www.crv.com/team,Bay Area-based GP; enterprise
Reid Christian,CRV,General Partner,?,https://www.crv.com/team,
Anna Khan,CRV,General Partner,Y,https://www.crv.com/team,Joined 2019; enterprise SaaS
Sunil Dhaliwal,Amplify Partners,General Partner,Y,https://www.amplifypartners.com/team/sunil-dhaliwal,Founder of Amplify; SF Bay
Mike Dauber,Amplify Partners,General Partner,Y,https://www.amplifypartners.com/team/mike-dauber,Joined 2014; SF Bay
Lenny Pruss,Amplify Partners,General Partner,?,https://www.amplifypartners.com/team,Infrastructure/devtools
Sarah Catanzaro,Amplify Partners,General Partner,Y,https://www.amplifypartners.com/team,ML/AI-focused; SF Bay
Jon Callaghan,True Ventures,Co-founder Managing Partner,Y,https://trueventures.com/team/jon-callaghan/,Co-founded 2005; SF Bay
Phil Black,True Ventures,Co-founder Partner,Y,https://trueventures.com/team,Co-founded 2005
Puneet Agarwal,True Ventures,Partner,Y,https://trueventures.com/team,Joined 2008; partner since 2010
Tony Conrad,True Ventures,Partner,Y,https://trueventures.com/team,Founding team; About.me CEO
Toni Schneider,True Ventures,Partner,Y,https://trueventures.com/team,
Om Malik,True Ventures,Partner,Y,https://trueventures.com/team,
Adam D'Augelli,True Ventures,Partner,Y,https://trueventures.com/team,
Rohit Sharma,True Ventures,Partner,?,https://trueventures.com/team,
Steve Vassallo,Foundation Capital,General Partner,Y,https://foundationcapital.com/team-members/steve-vassallo,Enterprise/fintech/crypto; Menlo Park
Ashu Garg,Foundation Capital,General Partner,Y,https://foundationcapital.com/foundation-capital-team/,Enterprise/AI focus
Joanne Chen,Foundation Capital,General Partner,Y,https://foundationcapital.com/foundation-capital-team/,Applied AI
Charles Moldow,Foundation Capital,General Partner,Y,https://foundationcapital.com/foundation-capital-team/,Fintech
Rodolfo Gonzalez,Foundation Capital,General Partner,Y,https://foundationcapital.com/foundation-capital-team/,
Sid Trivedi,Foundation Capital,Partner,Y,https://foundationcapital.com/team-members/sid-trivedi,Enterprise/security
Josh Kopelman,First Round Capital,Founder Managing Partner,N,https://www.firstround.com/team,Based Philadelphia; firm has SF office
Bill Trenchard,First Round Capital,Partner,Y,https://www.firstround.com/team,SF-based; Looker/Verkada/Flexport
Hayley Barna,First Round Capital,Partner,N,https://www.firstround.com/team,NYC-based
