name,firm,title,sf_based,linkedin_or_source_url,notes
Ravi Mhatre,Lightspeed Venture Partners,Founding Partner / Managing Director,yes,https://lsvp.com/lightspeed-team/,Menlo Park HQ
Barry Eggers,Lightspeed Venture Partners,Founding Partner,yes,https://lsvp.com/lightspeed-team/,Menlo Park
Peter Nieh,Lightspeed Venture Partners,Founding Partner,yes,https://lsvp.com/lightspeed-team/,Menlo Park
Christopher Schaepe,Lightspeed Venture Partners,Founding Partner,yes,https://lsvp.com/lightspeed-team/,Menlo Park
Jeremy Liew,Lightspeed Venture Partners,Partner,yes,https://lsvp.com/lightspeed-team/,Menlo Park
Arif Janmohamed,Lightspeed Venture Partners,Partner,yes,https://lsvp.com/team-member/arif-janmohamed/,Enterprise; US
Nicole Quinn,Lightspeed Venture Partners,Partner,yes,https://lsvp.com/lightspeed-team/,Consumer
Alex Taussig,Lightspeed Venture Partners,Partner,yes,https://lsvp.com/lightspeed-team/,Consumer
Faraz Fatemi,Lightspeed Venture Partners,Partner,yes,https://lsvp.com/team-member/faraz-fatemi/,Consumer; SF
Guru Chahal,Lightspeed Venture Partners,Partner,yes,https://lsvp.com/lightspeed-team/,Enterprise
Tal Morgenstern,Lightspeed Venture Partners,Partner,yes,https://lsvp.com/lightspeed-team/,Enterprise
Sachin Patel,Lightspeed Venture Partners,Partner,yes,https://lsvp.com/lightspeed-team/,SF/Bay Area
Eli Conniff,Lightspeed Venture Partners,Partner,?,https://lsvp.com/lightspeed-team/,location unclear
Moritz Baier-Lentz,Lightspeed Venture Partners,Partner & Head of Gaming,?,https://lsvp.com/lightspeed-team/,location unclear (likely SF/NYC)
Bejul Somaia,Lightspeed Venture Partners,Partner,?,https://lsvp.com/lightspeed-team/,India focus historically
Sebastian Duesterhoeft,Lightspeed Venture Partners,Partner,yes,https://www.linkedin.com/in/sebastian-duesterhoeft-84356b29/,SF Bay Area
Mike Volpi,Index Ventures,Partner,yes,https://www.indexventures.com/team/mike-volpi/,SF office founder
Danny Rimer,Index Ventures,Partner,?,https://www.indexventures.com/team/,SF/London (splits time)
Shardul Shah,Index Ventures,Partner,yes,https://www.indexventures.com/team/,SF; security/devops
Nina Achadjian,Index Ventures,Partner,yes,https://www.indexventures.com/team/nina-achadjian/,SF
Mark Goldberg,Index Ventures,Partner,yes,https://www.indexventures.com/team/,SF (now Chemistry but historically Index SF)
Sarah Cannon,Index Ventures,Partner,?,https://www.indexventures.com/team/,SF/NYC growth
Erin Price-Wright,Index Ventures,Partner,yes,https://www.indexventures.com/team/,SF
Paris Heymann,Index Ventures,Partner,yes,https://www.indexventures.com/team/,SF
Damir Becirovic,Index Ventures,Partner,?,https://www.indexventures.com/team/,NYC likely
Jahanvi Sardana,Index Ventures,Partner,?,https://www.indexventures.com/team/,location unclear
Cat Wu,Index Ventures,Partner,?,https://www.indexventures.com/team/,location unclear
Vinod Khosla,Khosla Ventures,Founder / Partner,yes,https://www.khoslaventures.com/team/vinod-khosla,Menlo Park
